,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348,cluster_label,graduated
605,0.0,-0.30000000000000004,0.0,-0.7,0.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.30000000000000004,-0.7,-0.30000000000000004,0.0,-1.0,-1.0,0.2999999999999998,0,0
606,1.0,-2.0,1.7000000000000002,-1.0,-1.0,-2.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
607,-1.0,-1.3,0.7000000000000002,1.7000000000000002,-1.0,-1.0,0.7000000000000002,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,1,0
608,-2.0,2.0,1.0,1.2999999999999998,1.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.7000000000000002,-2.0,0.2999999999999998,-0.30000000000000004,0.0,-2.0,-2.0,0,0
609,0.0,-1.0,-0.7,0.2999999999999998,0.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,1.2999999999999998,1.0,-1.0,-0.30000000000000004,0.2999999999999998,-0.30000000000000004,-0.30000000000000004,0.0,0,1
610,1.0,1.0,0.7000000000000002,1.0,2.0,-1.3,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,0.2999999999999998,2.0,1.0,0.7000000000000002,2.0,1.7000000000000002,0,1
611,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,1.7000000000000002,0.0,0.0,-1.0,-2.0,-2.0,0.2999999999999998,0,0
612,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,-2.0,0.2999999999999998,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
613,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,0.2999999999999998,1.0,0.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,0.2999999999999998,1.0,-2.0,0.0,1.2999999999999998,0.7000000000000002,0,1
614,1.0,0.0,2.0,2.0,1.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.2999999999999998,0.0,0.7000000000000002,0.0,0.2999999999999998,0.0,1.0,0,1
615,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.2999999999999998,-2.0,-2.0,0.0,1.0,0.0,0.0,1.0,-0.30000000000000004,-2.0,-2.0,0,0
616,1.0,1.0,0.0,-0.30000000000000004,0.7000000000000002,0.0,-2.0,-2.0,1.0,-2.0,-2.0,-0.7,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
617,-2.0,-2.0,0.0,1.0,2.0,-1.3,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-0.7,-2.0,-0.30000000000000004,1,0
618,0.0,2.0,2.0,1.0,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,-1.3,-0.30000000000000004,-0.30000000000000004,0.0,-0.7,-1.0,0,1
619,1.0,-2.0,0.0,2.0,-2.0,1.0,-1.3,-2.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
620,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,2.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
621,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,0.0,2.0,1.7000000000000002,2.0,2.0,2.0,2.0,-2.0,-2.0,0,0
622,-2.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,0.7000000000000002,0.7000000000000002,0.0,1.2999999999999998,1.0,0,1
