,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308,cluster_label,graduated
1005,1.0,1.2999999999999998,1.0,2.0,0.0,-2.0,2.0,1.7000000000000002,-2.0,-2.0,-2.0,2.0,1.0,-2.0,2.0,1.2999999999999998,0.0,0.0,0,1
1006,2.0,2.0,0.2999999999999998,1.2999999999999998,-0.30000000000000004,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,1.2999999999999998,0.2999999999999998,0.7000000000000002,0.7000000000000002,0.0,2.0,0,1
1007,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1008,0.2999999999999998,-0.7,1.0,1.0,0.2999999999999998,1.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,1.7000000000000002,0.0,0.2999999999999998,0.7000000000000002,-2.0,-0.30000000000000004,0,1
1009,1.0,2.0,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,2.0,1.0,1.2999999999999998,1.0,0,0
1010,2.0,2.0,2.0,-2.0,2.0,1.0,1.0,0.7000000000000002,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0,0
1011,0.0,1.0,0.2999999999999998,1.7000000000000002,1.2999999999999998,1.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,0.2999999999999998,1.7000000000000002,0.0,-0.7,0.7000000000000002,0,0
1012,2.0,2.0,2.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,1.2999999999999998,2.0,1.7000000000000002,-2.0,1.7000000000000002,0,1
1013,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1014,0.0,-0.30000000000000004,0.0,0.0,-1.0,-1.3,-2.0,1.0,-1.0,-2.0,-2.0,-2.0,1.7000000000000002,-1.3,0.7000000000000002,-0.30000000000000004,-0.7,-1.0,0,0
1015,0.7000000000000002,1.0,2.0,2.0,1.7000000000000002,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,1.2999999999999998,1.7000000000000002,1.7000000000000002,1.0,-2.0,1.2999999999999998,0,1
1016,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1017,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1018,-2.0,0.2999999999999998,0.0,0.7000000000000002,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,1.2999999999999998,0.2999999999999998,0.2999999999999998,0.2999999999999998,0,1
1019,-2.0,-2.0,1.0,-0.30000000000000004,0.0,-2.0,1.2999999999999998,2.0,-2.0,-2.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1020,1.0,1.0,1.0,1.0,0.0,2.0,-2.0,0.0,-1.0,-2.0,-2.0,-2.0,-0.30000000000000004,0.2999999999999998,-1.0,2.0,-2.0,0.0,0,0
