,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120,cluster_label,graduated
690,2.0,2.0,1.2999999999999998,2.0,-2.0,2.0,-2.0,-2.0,2.0,2.0,1.7000000000000002,-2.0,-2.0,-2.0,1.2999999999999998,1,0
691,0.0,1.0,1.0,0.0,0.7000000000000002,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,1,1
692,1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,0,0
693,0.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,1.0,-2.0,2.0,0,1
694,0.0,2.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,1.0,1.0,-2.0,0.7000000000000002,1,1
695,1.0,2.0,1.0,0.0,1.0,2.0,-2.0,-2.0,1.0,0.2999999999999998,0.0,-2.0,-2.0,2.0,-2.0,1,0
696,1.0,2.0,1.7000000000000002,2.0,1.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,1,1
697,-1.3,-1.0,0.0,-0.30000000000000004,0.0,-2.0,-2.0,-2.0,-0.7,-1.3,0.7000000000000002,-2.0,-2.0,-2.0,0.2999999999999998,0,1
698,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,0,0
699,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
700,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
701,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
702,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,1.7000000000000002,-2.0,-2.0,-1.0,-2.0,-2.0,0,0
703,1.0,1.0,0.0,0.7000000000000002,-2.0,-0.7,-2.0,-2.0,0.0,0.7000000000000002,-2.0,-2.0,-2.0,0.0,-2.0,1,0
704,0.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
705,0.0,1.0,1.0,2.0,0.7000000000000002,-2.0,-2.0,-2.0,1.7000000000000002,1.2999999999999998,1.0,-2.0,-2.0,-2.0,0.2999999999999998,1,0
706,-2.0,0.0,0.0,-2.0,-1.3,-2.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0,0
707,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,0,0
708,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,0.0,-2.0,0,0
709,1.2999999999999998,1.2999999999999998,1.2999999999999998,0.7000000000000002,0.7000000000000002,-2.0,-2.0,2.0,1.0,1.0,-2.0,2.0,2.0,-2.0,1.0,1,1
710,-0.30000000000000004,0.0,0.0,0.2999999999999998,1.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,1,1
711,1.0,-1.0,1.2999999999999998,1.0,1.7000000000000002,-2.0,-2.0,-2.0,2.0,2.0,-2.0,1.0,1.0,1.0,-2.0,1,1
712,-2.0,-2.0,0.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,-2.0,0,0
713,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,0.0,0.0,-2.0,-2.0,0.0,-2.0,0,0
714,-1.0,-2.0,-1.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,1.7000000000000002,1.2999999999999998,-2.0,-2.0,-2.0,2.0,-2.0,0,0
715,-0.30000000000000004,0.0,0.0,-1.0,-2.0,-1.0,-2.0,-2.0,0.0,1.0,2.0,-2.0,2.0,2.0,-2.0,1,0
716,2.0,1.0,0.7000000000000002,1.0,0.2999999999999998,-2.0,-2.0,-2.0,2.0,2.0,0.0,-2.0,-2.0,-2.0,1.2999999999999998,1,1
717,2.0,1.0,0.0,1.7000000000000002,0.0,2.0,-2.0,-2.0,1.0,1.0,-2.0,2.0,2.0,1.0,-2.0,1,1
718,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,0,0
719,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,0,0
720,-2.0,-2.0,-2.0,-2.0,-2.0,-1.3,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.2999999999999998,0,0
721,2.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,0,0
722,-2.0,-2.0,1.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,1
723,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,0.2999999999999998,-0.30000000000000004,-2.0,-2.0,-2.0,-2.0,-0.30000000000000004,0,0
724,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,0,0
725,1.0,2.0,2.0,2.0,1.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,-2.0,-2.0,1.0,-2.0,1,0
726,-1.0,-2.0,0.7000000000000002,0.0,0.0,0.7000000000000002,-2.0,-2.0,0.0,0.0,0.0,-2.0,-2.0,1.2999999999999998,-2.0,1,0
727,1.0,1.7000000000000002,0.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.2999999999999998,-2.0,-2.0,1.0,-2.0,1,0
728,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
729,0.0,1.0,0.7000000000000002,1.7000000000000002,0.0,-2.0,2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1,1
730,1.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,0,0
731,-2.0,0.0,-1.0,0.7000000000000002,-0.30000000000000004,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,1,1
732,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,0,0
733,2.0,1.0,-2.0,0.7000000000000002,-2.0,2.0,-2.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,1.0,-2.0,1,0
734,0.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,0,0
735,-2.0,2.0,0.0,-2.0,-1.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
736,2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,0,0
737,1.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,-2.0,-2.0,1.7000000000000002,-2.0,1,0
738,0.0,0.0,1.0,2.0,0.7000000000000002,1.0,-2.0,-2.0,2.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,1,0
739,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,0,0
740,2.0,0.0,1.2999999999999998,2.0,1.2999999999999998,2.0,-2.0,-2.0,1.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,1,1
741,-2.0,1.0,-1.0,-2.0,0.7000000000000002,1.0,-2.0,-2.0,1.0,2.0,-2.0,1.0,-2.0,0.0,-2.0,1,1
742,-2.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,2.0,1.0,-2.0,2.0,-2.0,-2.0,-0.7,0,0
743,-2.0,0.0,-0.30000000000000004,0.0,0.0,0.0,-2.0,-2.0,0.0,1.0,1.0,-2.0,-2.0,0.0,-2.0,1,1
744,-2.0,-1.0,-0.7,1.0,-0.30000000000000004,0.0,-2.0,-2.0,1.0,1.0,0.0,-2.0,0.0,2.0,-2.0,1,0
745,2.0,0.0,0.0,-1.0,-0.30000000000000004,-2.0,0.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,1,1
746,1.0,-1.0,-2.0,0.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,0.2999999999999998,-2.0,0,1
747,1.0,1.0,1.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,-1.0,1,0
748,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,0,0
749,1.7000000000000002,1.0,0.0,0.2999999999999998,1.2999999999999998,2.0,-2.0,-2.0,0.0,-0.7,0.7000000000000002,-2.0,-2.0,1.0,-2.0,1,1
750,0.0,1.0,1.0,-0.7,0.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,2.0,-2.0,0.0,-2.0,1,1
751,1.0,0.0,1.2999999999999998,0.0,0.2999999999999998,1.0,-2.0,-2.0,0.0,0.7000000000000002,0.0,-2.0,-2.0,1.0,-2.0,1,1
752,2.0,1.2999999999999998,1.0,0.0,-2.0,2.0,-2.0,-2.0,1.0,1.0,0.0,-2.0,-2.0,1.0,-2.0,1,0
