,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308,graduated,cluster_label
4345,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,1.7000000000000002,0.0,-2.0,1.0,-2.0,-2.0,-2.0,0,1
4347,2.0,2.0,2.0,2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,0.7000000000000002,1.0,0.7000000000000002,1.0,0.0,0.0,0.7000000000000002,-2.0,1.0,1,1
4348,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,-2.0,-2.0,-2.0,1.0,2.0,2.0,1.2999999999999998,1.2999999999999998,1.2999999999999998,-2.0,-2.0,-2.0,1.7000000000000002,0,1
4349,0.0,0.0,1.0,2.0,-2.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,0.2999999999999998,-2.0,0.0,0.0,0.0,1.7000000000000002,-2.0,-2.0,-0.7,0,1
4350,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4351,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4352,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4353,-2.0,2.0,2.0,2.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,1.0,0.7000000000000002,1.2999999999999998,0.7000000000000002,1.2999999999999998,-2.0,0.7000000000000002,1,1
4354,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
