,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355,cluster_label,graduated
2346,2.0,-2.0,1.0,1.0,1.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,2.0,0.0,0.2999999999999998,-2.0,0.0,-2.0,0.0,0,1
2347,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,1.7000000000000002,-2.0,-2.0,-2.0,1.0,1.2999999999999998,2.0,1.7000000000000002,1.2999999999999998,-2.0,0.0,-2.0,-2.0,0,1
2348,1.0,2.0,0.2999999999999998,1.0,2.0,-2.0,1.7000000000000002,1.0,-2.0,1.7000000000000002,-2.0,1.7000000000000002,2.0,2.0,1.7000000000000002,1.2999999999999998,-2.0,2.0,2.0,1.0,0,1
2349,2.0,2.0,2.0,1.0,1.0,-2.0,0.0,2.0,0.0,0.0,-2.0,1.2999999999999998,1.0,-0.30000000000000004,0.7000000000000002,0.2999999999999998,-2.0,1.2999999999999998,-2.0,-2.0,0,1
2350,-2.0,-2.0,2.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,1.0,2.0,2.0,-2.0,2.0,-2.0,-2.0,0,1
2351,2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,1.7000000000000002,-2.0,0.7000000000000002,-2.0,-2.0,1,1
2352,1.7000000000000002,1.0,-2.0,1.0,1.0,-2.0,-2.0,0.0,0.2999999999999998,-2.0,-2.0,1.0,-0.7,2.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,1,0
2353,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,1.0,-2.0,0.0,0.0,2.0,2.0,1.0,1.7000000000000002,1.0,-2.0,1.2999999999999998,1.2999999999999998,1.0,0,0
2354,1.0,2.0,1.0,0.0,-2.0,-2.0,1.7000000000000002,1.2999999999999998,1.0,-2.0,-2.0,0.7000000000000002,-2.0,0.7000000000000002,-2.0,0.0,-2.0,1.0,-2.0,-2.0,1,0
2355,2.0,2.0,2.0,1.0,2.0,-2.0,1.7000000000000002,1.0,-2.0,-2.0,-2.0,1.0,2.0,0.7000000000000002,1.2999999999999998,0.2999999999999998,-2.0,0.7000000000000002,1.0,2.0,0,1
2356,0.7000000000000002,2.0,1.0,0.7000000000000002,2.0,-2.0,1.0,0.2999999999999998,2.0,-2.0,-2.0,2.0,0.7000000000000002,1.0,1.7000000000000002,1.0,-2.0,-0.30000000000000004,1.0,0.0,0,0
2357,0.0,0.2999999999999998,1.0,0.2999999999999998,2.0,1.7000000000000002,0.7000000000000002,0.0,1.0,-2.0,-2.0,0.0,0.0,2.0,0.7000000000000002,1.0,-2.0,0.0,1.2999999999999998,2.0,0,1
2358,-2.0,2.0,1.0,1.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,1.2999999999999998,1.0,0.2999999999999998,0.7000000000000002,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,0,1
2359,1.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,0.0,2.0,1.0,-1.3,-2.0,-2.0,-2.0,-2.0,1,0
2360,1.0,2.0,2.0,1.0,2.0,-2.0,2.0,1.0,-2.0,-2.0,-2.0,0.7000000000000002,0.2999999999999998,1.0,0.2999999999999998,1.0,-2.0,0.0,-2.0,2.0,0,1
2361,1.0,1.0,0.0,1.0,2.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,0.7000000000000002,-0.7,0.7000000000000002,0.7000000000000002,-0.30000000000000004,-2.0,0.0,-2.0,-2.0,0,1
2362,1.0,1.0,0.2999999999999998,1.0,1.0,0.7000000000000002,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,0.7000000000000002,0.0,0.0,0.2999999999999998,-0.7,-2.0,-1.0,-2.0,-2.0,1,1
2363,1.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,2.0,1.0,1.0,0.0,-2.0,-0.30000000000000004,-2.0,-2.0,0,1
2364,1.0,0.2999999999999998,0.0,-1.3,1.0,0.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.7000000000000002,0.7000000000000002,-2.0,0.0,-2.0,-2.0,1,1
2365,1.0,-2.0,0.0,1.0,0.7000000000000002,0.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
2366,1.0,1.0,1.0,1.0,2.0,-2.0,1.0,2.0,0.0,0.0,-2.0,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0,1
2367,2.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,1.0,-0.30000000000000004,-0.30000000000000004,0.0,-2.0,0.0,-2.0,-2.0,0,1
2368,0.0,-0.30000000000000004,0.0,0.0,1.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,0.7000000000000002,0.0,1.0,0.0,0.7000000000000002,-2.0,1.0,-2.0,-2.0,0,1
2369,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,-2.0,-2.0,0,1
2370,2.0,2.0,2.0,2.0,1.0,-2.0,1.0,1.0,0.7000000000000002,-2.0,-2.0,1.0,0.2999999999999998,1.2999999999999998,0.0,0.0,-2.0,0.7000000000000002,-2.0,-2.0,0,1
2371,-2.0,-2.0,2.0,1.0,2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.7000000000000002,0.0,0.7000000000000002,-1.0,0.0,-2.0,-0.30000000000000004,-2.0,0.2999999999999998,1,0
2372,2.0,2.0,2.0,2.0,1.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.2999999999999998,2.0,-2.0,-1.0,-2.0,2.0,0,1
2373,0.0,0.0,2.0,0.0,-0.30000000000000004,-2.0,-2.0,0.0,0.0,-2.0,-2.0,1.2999999999999998,1.0,0.0,0.2999999999999998,0.0,-2.0,1.0,-2.0,-2.0,0,1
2374,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,1.0,-2.0,1.0,-2.0,0.0,1.0,1.0,0.0,1.2999999999999998,-2.0,0.0,-2.0,-2.0,0,1
2375,1.7000000000000002,2.0,2.0,2.0,-2.0,-2.0,2.0,1.7000000000000002,1.7000000000000002,-2.0,-2.0,1.0,-2.0,2.0,2.0,1.2999999999999998,-2.0,2.0,2.0,1.2999999999999998,0,1
2376,2.0,1.0,0.0,0.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,1.2999999999999998,1.7000000000000002,0.0,1.7000000000000002,-2.0,-2.0,0.0,-2.0,-2.0,0,1
2377,-2.0,1.0,2.0,1.0,2.0,-2.0,-2.0,1.2999999999999998,1.0,-2.0,-2.0,1.0,1.0,2.0,1.7000000000000002,1.2999999999999998,-2.0,1.2999999999999998,-2.0,-2.0,0,1
2378,0.0,1.0,1.0,2.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,0.0,0.0,0.7000000000000002,-2.0,0.0,-2.0,-2.0,0,1
2379,-2.0,0.7000000000000002,0.0,0.0,1.2999999999999998,-2.0,-2.0,-1.0,-2.0,1.0,-2.0,-2.0,1.0,-1.0,0.0,0.0,-2.0,-1.3,-2.0,-2.0,1,1
2380,1.0,0.0,0.0,0.0,1.0,-2.0,1.0,2.0,0.0,-2.0,-2.0,0.7000000000000002,1.0,1.0,-0.30000000000000004,0.0,-2.0,0.2999999999999998,-2.0,1.0,0,1
2381,0.0,-2.0,-1.0,0.0,1.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
2382,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
2383,0.0,1.0,1.0,0.0,1.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,0.2999999999999998,1.0,0.0,-0.7,-1.0,-2.0,-1.3,-2.0,-2.0,1,1
2384,1.0,1.0,0.0,1.0,1.0,-2.0,0.7000000000000002,1.0,0.0,-2.0,-2.0,0.0,1.0,-0.30000000000000004,1.0,-1.3,-2.0,1.0,0.7000000000000002,0.2999999999999998,0,1
